"Test.Sample" "Test.Mean" "Test.Standard.Deviation" "Test.Activity" "Training.Sample" "Training.Mean" "Training.Standard.Deviation" "Training.Activity"
"1" 2 -0.586932495926453 0.53293889474142 "Standing" 2 -0.586932495926453 -0.586932495926453 "Standing"
"2" 2 -0.629197697018004 0.538233757550701 "Standing" 2 -0.629197697018004 -0.629197697018004 "Standing"
"3" 2 -0.6475958281041 0.52807257583942 "Standing" 2 -0.6475958281041 -0.6475958281041 "Standing"
"4" 2 -0.643015575616221 0.535905467723836 "Standing" 2 -0.643015575616221 -0.643015575616221 "Standing"
"5" 2 -0.648009318608841 0.527689909723879 "Standing" 2 -0.648009318608841 -0.648009318608841 "Standing"
"6" 2 -0.650451053513012 0.524667333968142 "Standing" 2 -0.650451053513012 -0.650451053513012 "Standing"
"7" 2 -0.648862800940428 0.528827387211795 "Standing" 2 -0.648862800940428 -0.648862800940428 "Standing"
"8" 2 -0.655605235103209 0.531869139624043 "Standing" 2 -0.655605235103209 -0.655605235103209 "Standing"
"9" 2 -0.652024332695205 0.535373828537913 "Standing" 2 -0.652024332695205 -0.652024332695205 "Standing"
"10" 2 -0.657305261082442 0.535330507896622 "Standing" 2 -0.657305261082442 -0.657305261082442 "Standing"
"11" 2 -0.65307116455672 0.536715548856131 "Standing" 2 -0.65307116455672 -0.65307116455672 "Standing"
"12" 2 -0.651335155032086 0.54419059449776 "Standing" 2 -0.651335155032086 -0.651335155032086 "Standing"
"13" 2 -0.651480413494296 0.543520414808611 "Standing" 2 -0.651480413494296 -0.651480413494296 "Standing"
"14" 2 -0.648669588258467 0.540623628091215 "Standing" 2 -0.648669588258467 -0.648669588258467 "Standing"
"15" 2 -0.64634910884385 0.53431255374798 "Standing" 2 -0.64634910884385 -0.64634910884385 "Standing"
"16" 2 -0.634700738685865 0.537956410979442 "Standing" 2 -0.634700738685865 -0.634700738685865 "Standing"
"17" 2 -0.611516924924973 0.546723944478437 "Standing" 2 -0.611516924924973 -0.611516924924973 "Standing"
"18" 2 -0.620011145070232 0.56158612479273 "Standing" 2 -0.620011145070232 -0.620011145070232 "Standing"
"19" 2 -0.638410305541711 0.539049531441498 "Standing" 2 -0.638410305541711 -0.638410305541711 "Standing"
"20" 2 -0.619249248691622 0.532929278960597 "Standing" 2 -0.619249248691622 -0.619249248691622 "Standing"
"21" 2 -0.615579331569305 0.529550158265891 "Standing" 2 -0.615579331569305 -0.615579331569305 "Standing"
"22" 2 -0.581886054376096 0.551531921265281 "Standing" 2 -0.581886054376096 -0.581886054376096 "Standing"
"23" 2 -0.568091670144795 0.53864018644319 "Standing" 2 -0.568091670144795 -0.568091670144795 "Standing"
"24" 2 -0.586156957238146 0.527427633017235 "Standing" 2 -0.586156957238146 -0.586156957238146 "Standing"
"25" 2 -0.643382584084438 0.525954302132557 "Standing" 2 -0.643382584084438 -0.643382584084438 "Standing"
"26" 2 -0.644557990313207 0.523695900772226 "Standing" 2 -0.644557990313207 -0.644557990313207 "Standing"
"27" 2 -0.641121916938681 0.53382327295884 "Standing" 2 -0.641121916938681 -0.641121916938681 "Standing"
"28" 2 -0.64727964577754 0.529376221067123 "Standing" 2 -0.64727964577754 -0.64727964577754 "Standing"
"29" 2 -0.641134163980125 0.538383998264804 "Standing" 2 -0.641134163980125 -0.641134163980125 "Standing"
"30" 2 -0.633364425841355 0.550931914896748 "Standing" 2 -0.633364425841355 -0.633364425841355 "Standing"
"31" 2 -0.629012412452496 0.553122673039105 "Standing" 2 -0.629012412452496 -0.629012412452496 "Standing"
"32" 2 -0.622489146944866 0.542549805763785 "Sitting" 2 -0.622489146944866 -0.622489146944866 "Sitting"
"33" 2 -0.641858857304456 0.543132334381002 "Sitting" 2 -0.641858857304456 -0.641858857304456 "Sitting"
"34" 2 -0.658640762933868 0.540277334148799 "Sitting" 2 -0.658640762933868 -0.658640762933868 "Sitting"
"35" 2 -0.64663438708162 0.538621161235226 "Sitting" 2 -0.64663438708162 -0.64663438708162 "Sitting"
"36" 2 -0.641389036107451 0.535708422526497 "Sitting" 2 -0.641389036107451 -0.641389036107451 "Sitting"
"37" 2 -0.651724136123708 0.530160806106719 "Sitting" 2 -0.651724136123708 -0.651724136123708 "Sitting"
"38" 2 -0.654849524784688 0.525437086347547 "Sitting" 2 -0.654849524784688 -0.654849524784688 "Sitting"
"39" 2 -0.658798784888235 0.52698811819244 "Sitting" 2 -0.658798784888235 -0.658798784888235 "Sitting"
"40" 2 -0.653363436894599 0.532574720946046 "Sitting" 2 -0.653363436894599 -0.653363436894599 "Sitting"
"41" 2 -0.657636828527825 0.530131650154813 "Sitting" 2 -0.657636828527825 -0.657636828527825 "Sitting"
"42" 2 -0.658963533776471 0.528392082917717 "Sitting" 2 -0.658963533776471 -0.658963533776471 "Sitting"
"43" 2 -0.651820367362567 0.526515656349735 "Sitting" 2 -0.651820367362567 -0.651820367362567 "Sitting"
"44" 2 -0.646368067761283 0.530819544493785 "Sitting" 2 -0.646368067761283 -0.646368067761283 "Sitting"
"45" 2 -0.597704274059893 0.547711326743217 "Sitting" 2 -0.597704274059893 -0.597704274059893 "Sitting"
"46" 2 -0.621790257446346 0.548914729253936 "Sitting" 2 -0.621790257446346 -0.621790257446346 "Sitting"
"47" 2 -0.642172657245098 0.54664969609145 "Sitting" 2 -0.642172657245098 -0.642172657245098 "Sitting"
"48" 2 -0.640737606262816 0.547144220568454 "Sitting" 2 -0.640737606262816 -0.640737606262816 "Sitting"
"49" 2 -0.643771978710695 0.52161805266766 "Sitting" 2 -0.643771978710695 -0.643771978710695 "Sitting"
"50" 2 -0.646342278066667 0.513931129602924 "Sitting" 2 -0.646342278066667 -0.646342278066667 "Sitting"
"51" 2 -0.647894636344742 0.528261033728331 "Sitting" 2 -0.647894636344742 -0.647894636344742 "Sitting"
"52" 2 -0.644916646416756 0.533383645949602 "Sitting" 2 -0.644916646416756 -0.644916646416756 "Sitting"
"53" 2 -0.654462160121747 0.530182530370834 "Sitting" 2 -0.654462160121747 -0.654462160121747 "Sitting"
"54" 2 -0.653917488950071 0.534223659905169 "Sitting" 2 -0.653917488950071 -0.653917488950071 "Sitting"
"55" 2 -0.655529306472906 0.529203472697776 "Sitting" 2 -0.655529306472906 -0.655529306472906 "Sitting"
"56" 2 -0.613808150831729 0.52663698368415 "Laying" 2 -0.613808150831729 -0.613808150831729 "Laying"
"57" 2 -0.645100826232086 0.530190434269177 "Laying" 2 -0.645100826232086 -0.645100826232086 "Laying"
"58" 2 -0.638348250806239 0.549193745547173 "Laying" 2 -0.638348250806239 -0.638348250806239 "Laying"
"59" 2 -0.649692916435027 0.549756427919445 "Laying" 2 -0.649692916435027 -0.649692916435027 "Laying"
"60" 2 -0.652107823964884 0.55175307443228 "Laying" 2 -0.652107823964884 -0.652107823964884 "Laying"
"61" 2 -0.642963360033333 0.564844283555779 "Laying" 2 -0.642963360033333 -0.642963360033333 "Laying"
"62" 2 -0.650231338363815 0.557683555891277 "Laying" 2 -0.650231338363815 -0.650231338363815 "Laying"
"63" 2 -0.649611166359893 0.547848472823504 "Laying" 2 -0.649611166359893 -0.649611166359893 "Laying"
"64" 2 -0.637158009775401 0.560469093058613 "Laying" 2 -0.637158009775401 -0.637158009775401 "Laying"
"65" 2 -0.642293676638324 0.556352204651775 "Laying" 2 -0.642293676638324 -0.642293676638324 "Laying"
"66" 2 -0.637975810214617 0.551357644885746 "Laying" 2 -0.637975810214617 -0.637975810214617 "Laying"
"67" 2 -0.596226802019857 0.555946550136123 "Laying" 2 -0.596226802019857 -0.596226802019857 "Laying"
"68" 2 -0.614178756006774 0.554448883380187 "Laying" 2 -0.614178756006774 -0.614178756006774 "Laying"
"69" 2 -0.637408458349198 0.539582326606149 "Laying" 2 -0.637408458349198 -0.637408458349198 "Laying"
"70" 2 -0.635805538511765 0.547547113104558 "Laying" 2 -0.635805538511765 -0.635805538511765 "Laying"
"71" 2 -0.648970729862745 0.531344767462412 "Laying" 2 -0.648970729862745 -0.648970729862745 "Laying"
"72" 2 -0.650467939568877 0.529668091176669 "Laying" 2 -0.650467939568877 -0.650467939568877 "Laying"
"73" 2 -0.654755289992567 0.528705728281038 "Laying" 2 -0.654755289992567 -0.654755289992567 "Laying"
"74" 2 -0.642498043749733 0.544684164083858 "Laying" 2 -0.642498043749733 -0.642498043749733 "Laying"
"75" 2 -0.634868426386631 0.550973928489729 "Laying" 2 -0.634868426386631 -0.634868426386631 "Laying"
