"Test.Sample" "Test.Activity" "Test.Mean" "Training.Sample" "Training.Activity" "Training.Mean"
"1" 2 "Laying" -0.639973837827844 2 "Laying" -0.639973837827844
"2" 2 "Sitting" -0.640597914078914 2 "Sitting" -0.640597914078914
"3" 2 "Standing" -0.636454993012462 2 "Standing" -0.636454993012462
"4" 2 "Walking" -0.385708093716054 2 "Walking" -0.385708093716054
"5" 2 "Walking Downstairs" -0.259677293061387 2 "Walking Downstairs" -0.259677293061387
"6" 2 "Walking Upstairs" -0.363983305102955 2 "Walking Upstairs" -0.363983305102955
"7" 4 "Laying" -0.630875080725603 4 "Laying" -0.630875080725603
"8" 4 "Sitting" -0.627074988752137 4 "Sitting" -0.627074988752137
"9" 4 "Standing" -0.618583772157932 4 "Standing" -0.618583772157932
"10" 4 "Walking" -0.43055661483918 4 "Walking" -0.43055661483918
"11" 4 "Walking Downstairs" -0.363790441016887 4 "Walking Downstairs" -0.363790441016887
"12" 4 "Walking Upstairs" -0.415260374462441 4 "Walking Upstairs" -0.415260374462441
"13" 9 "Laying" -0.628414047268328 9 "Laying" -0.628414047268328
"14" 9 "Sitting" -0.627530823653232 9 "Sitting" -0.627530823653232
"15" 9 "Standing" -0.633713631013694 9 "Standing" -0.633713631013694
"16" 9 "Walking" -0.37164660578822 9 "Walking" -0.37164660578822
"17" 9 "Walking Downstairs" -0.313140747277053 9 "Walking Downstairs" -0.313140747277053
"18" 9 "Walking Upstairs" -0.427075431896002 9 "Walking Upstairs" -0.427075431896002
"19" 10 "Laying" -0.633606314208568 10 "Laying" -0.633606314208568
"20" 10 "Sitting" -0.640078551091241 10 "Sitting" -0.640078551091241
"21" 10 "Standing" -0.630886542166037 10 "Standing" -0.630886542166037
"22" 10 "Walking" -0.327086776127028 10 "Walking" -0.327086776127028
"23" 10 "Walking Downstairs" -0.263162073365728 10 "Walking Downstairs" -0.263162073365728
"24" 10 "Walking Upstairs" -0.345652600356602 10 "Walking Upstairs" -0.345652600356602
"25" 12 "Laying" -0.63012919397725 12 "Laying" -0.63012919397725
"26" 12 "Sitting" -0.636301750626951 12 "Sitting" -0.636301750626951
"27" 12 "Standing" -0.627684013763497 12 "Standing" -0.627684013763497
"28" 12 "Walking" -0.355560155447154 12 "Walking" -0.355560155447154
"29" 12 "Walking Downstairs" -0.311490436338625 12 "Walking Downstairs" -0.311490436338625
"30" 12 "Walking Upstairs" -0.42179157558609 12 "Walking Upstairs" -0.42179157558609
"31" 13 "Laying" -0.624337936876007 13 "Laying" -0.624337936876007
"32" 13 "Sitting" -0.638179130162868 13 "Sitting" -0.638179130162868
"33" 13 "Standing" -0.639297749080434 13 "Standing" -0.639297749080434
"34" 13 "Walking" -0.316988827925179 13 "Walking" -0.316988827925179
"35" 13 "Walking Downstairs" -0.317234723087439 13 "Walking Downstairs" -0.317234723087439
"36" 13 "Walking Upstairs" -0.411582073864772 13 "Walking Upstairs" -0.411582073864772
"37" 18 "Laying" -0.645039855011435 18 "Laying" -0.645039855011435
"38" 18 "Sitting" -0.650240242162375 18 "Sitting" -0.650240242162375
"39" 18 "Standing" -0.645518459042212 18 "Standing" -0.645518459042212
"40" 18 "Walking" -0.436306077297177 18 "Walking" -0.436306077297177
"41" 18 "Walking Downstairs" -0.438663811185222 18 "Walking Downstairs" -0.438663811185222
"42" 18 "Walking Upstairs" -0.470681472754459 18 "Walking Upstairs" -0.470681472754459
"43" 20 "Laying" -0.644397438696908 20 "Laying" -0.644397438696908
"44" 20 "Sitting" -0.639872725383092 20 "Sitting" -0.639872725383092
"45" 20 "Standing" -0.620027732157146 20 "Standing" -0.620027732157146
"46" 20 "Walking" -0.259518117088663 20 "Walking" -0.259518117088663
"47" 20 "Walking Downstairs" -0.247169665420288 20 "Walking Downstairs" -0.247169665420288
"48" 20 "Walking Upstairs" -0.338291941451443 20 "Walking Upstairs" -0.338291941451443
"49" 24 "Laying" -0.634203387560794 24 "Laying" -0.634203387560794
"50" 24 "Sitting" -0.646619496620551 24 "Sitting" -0.646619496620551
"51" 24 "Standing" -0.634194893841734 24 "Standing" -0.634194893841734
"52" 24 "Walking" -0.416975175176002 24 "Walking" -0.416975175176002
"53" 24 "Walking Downstairs" -0.359085991984149 24 "Walking Downstairs" -0.359085991984149
"54" 24 "Walking Upstairs" -0.43583828688532 24 "Walking Upstairs" -0.43583828688532
